GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs.repository.impl,HelloJaxRSRepository,52,0,4,0,13,0,7,0,5,0
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,Hellos,93,0,14,0,4,0,16,0,9,0
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,HelloEntity,139,0,22,0,5,0,22,0,11,0
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,Hellos.HellosBuilder,26,0,0,0,1,0,4,0,4,0
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,HelloEntity.HelloEntityBuilder,38,0,0,0,1,0,5,0,5,0
