GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests JPA,net.osgiliath.jpa.repository.impl,HelloJpaRepository,37,12,0,0,9,4,1,2,1,2
Osgiliath integration tests JPA,net.osgiliath.jpa.model,HelloEntity,447,278,83,24,2,3,78,28,28,23
Osgiliath integration tests JPA,net.osgiliath.jpa.model,HelloEntity.HelloEntityBuilder,38,0,0,0,1,0,5,0,5,0
Osgiliath integration tests JPA,net.osgiliath.jpa.model,HelloEntity_,3,0,0,0,1,0,1,0,1,0
