GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJaxRS.new Function() {...},0,9,0,0,0,2,0,2,0,2
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJaxRS,5,120,1,5,1,21,1,9,0,7
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS,64,98,4,2,10,21,4,8,1,8
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new MessageCreator() {...},15,0,0,0,2,0,2,0,2,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new MessageCreator() {...},0,12,0,0,0,2,0,2,0,2
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new Function() {...},0,9,0,0,0,2,0,2,0,2
