GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJaxRS.new Function() {...},9,0,0,0,2,0,2,0,2,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJaxRS,125,0,6,0,22,0,10,0,7,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS,162,0,6,0,31,0,12,0,9,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new MessageCreator() {...},15,0,0,0,2,0,2,0,2,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new MessageCreator() {...},12,0,0,0,2,0,2,0,2,0
Blueprint configured business module,net.osgiliath.hello.business.impl.services.impl,HelloServiceJMS.new Function() {...},9,0,0,0,2,0,2,0,2,0
