GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs.repository.impl,HelloJaxRSRepository,27,25,4,0,6,7,3,4,1,4
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,Hellos,77,16,14,0,1,3,12,4,5,4
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,HelloEntity,123,16,22,0,3,2,19,3,8,3
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,Hellos.HellosBuilder,12,14,0,0,0,1,1,3,1,3
Osgiliath integration tests JaxRS,net.osgiliath.jaxrs,HelloEntity.HelloEntityBuilder,22,16,0,0,0,1,2,3,2,3
