GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Osgiliath integration tests JaxRS cdi web,conf,JaxRSCDIApplication,14,0,0,0,4,0,2,0,2,0
Osgiliath integration tests JaxRS cdi web,conf,JaxRSCDIServicesProviderServlet,3,0,0,0,1,0,1,0,1,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.model,HelloObject,93,0,14,0,4,0,16,0,9,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.model,Hellos,93,0,14,0,4,0,16,0,9,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.model,Hellos.HellosBuilder,26,0,0,0,1,0,4,0,4,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.model,HelloObject.HelloObjectBuilder,26,0,0,0,1,0,4,0,4,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.impl,HelloServiceImpl.new Function() {...},9,0,0,0,2,0,2,0,2,0
Osgiliath integration tests JaxRS cdi web,net.osgiliath.features.karaf.jaxrs.web.cdi.impl,HelloServiceImpl,26,0,0,0,5,0,3,0,3,0
