GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CDI configured business module,net.osgiliath.hello.business.cdi.impl.services.impl,HelloServiceJMS,73,0,2,0,16,0,7,0,6,0
CDI configured business module,net.osgiliath.hello.business.cdi.impl.services.impl,HelloServiceJMS.new Processor() {...},14,0,0,0,3,0,2,0,2,0
CDI configured business module,net.osgiliath.hello.business.cdi.impl.services.impl,HelloServiceJaxRS,58,0,2,0,13,0,6,0,5,0
CDI configured business module,net.osgiliath.hello.business.cdi.impl.services.impl,HelloServiceJaxRS.new Function() {...},9,0,0,0,2,0,2,0,2,0
CDI configured business module,net.osgiliath.hello.business.cdi.impl.services.impl,HelloServiceJMS.new Function() {...},9,0,0,0,2,0,2,0,2,0
CDI configured business module,conf,HelloCDIValidator,5,0,0,0,2,0,2,0,2,0
CDI configured business module,conf,SwaggerBeanConfig,66,0,0,0,15,0,3,0,3,0
CDI configured business module,conf,SwaggerAPIAccessService,8,0,0,0,3,0,2,0,2,0
CDI configured business module,conf,HelloComponents,13,0,0,0,4,0,3,0,3,0
